id,type,category,question,choice1,choice2,choice3,choice4,answer,explanation,hint
1,객관식,가정교육론·교육과정,2022 개정 가정과 교육과정의 내용 요소를 구성하는 세 범주로 가장 적절한 것은?,지식·이해 / 과정·기능 / 가치·태도,핵심 개념 / 내용 요소 / 기능,성취기준 / 평가기준 / 수행기준,목표 / 방법 / 결과,1,"2022 개정 교육과정은 단순 지식 암기보다 지식·이해, 과정·기능, 가치·태도의 통합적 성취를 강조한다.",힌트: 2022 개정 교육과정 문서에서 내용 체계표의 가로축을 떠올려 보세요.
2,객관식,가정교육론·교육과정,2015 개정의 ‘핵심 개념’과 2022 개정의 ‘핵심 아이디어’의 차이를 가장 바르게 설명한 것은?,"핵심 개념은 개별 지식만 뜻하고, 핵심 아이디어는 암기 문항만 뜻한다","핵심 아이디어는 평가 요소이고, 핵심 개념은 수업 방법이다","핵심 개념은 내용 조직의 중심 개념이고, 핵심 아이디어는 학습자가 깊이 이해해야 할 일반화된 의미나 원리이다",두 용어는 완전히 같은 뜻이므로 구분할 필요가 없다,3,핵심 아이디어는 개념을 넘어 전이 가능한 깊은 이해를 요구한다.,힌트: ‘아이디어’는 단순 명칭보다 넓은 문장형 이해에 가깝습니다.
3,객관식,가정교육론·교육과정,"가족 갈등 사례를 분석하고, 해결 대안의 결과를 예측한 뒤 가치 판단을 거쳐 실천 방안을 선택하는 수업이 강조하는 브라운의 행동체계는?",기술적 행동,반성적 행동,의사소통적 행동,습관적 행동,2,실천적 문제를 비판적으로 검토하고 가치 판단을 거쳐 행동을 선택하므로 반성적 행동에 해당한다.,"힌트: ‘왜 해야 하는가’, ‘어떤 행동이 바람직한가’를 따지는 행동체계입니다."
4,객관식,가정교육론·교육과정,보빗의 관점 중 가정생활에 필요한 기능과 기술을 효율적으로 습득시키는 데 중점을 두는 교육과정 관점은?,해방적 교육과정,실천적 문제 중심 교육과정,개념 기반 교육과정,능력 중심 교육과정,4,능력 중심 교육과정은 생활 기능과 절차적 기술의 습득을 중시한다.,힌트: ‘무엇을 할 수 있는가’라는 수행 능력에 초점이 있습니다.
5,객관식,가정교육론·교육과정,학생들이 지역의 1인 가구 문제를 조사하고 식생활·주거·안전 지원 방안을 제안하는 수업에 가장 가까운 방법은?,강의식 수업,문제중심학습,기계적 반복 학습,시범 중심 수업,2,"실제 생활문제를 중심으로 조사, 분석, 대안 탐색을 수행하므로 문제중심학습에 가깝다.",힌트: 답이 하나로 정해진 문제가 아니라 실제 생활문제를 해결합니다.
6,객관식,가정교육론·교육과정,킬패트릭의 프로젝트 학습에서 가장 핵심적인 특징은?,교사가 모든 절차를 지시한다,항상 지필평가만 사용한다,개별 암기량을 최대화한다,"학생이 주제 선정, 계획, 실행, 평가 과정에 주도적으로 참여한다",4,"프로젝트 학습은 학습자의 자발성, 책임감, 실제 생활과의 연결을 중시한다.",힌트: 프로젝트 학습은 결과물뿐 아니라 계획부터 평가까지의 과정을 봅니다.
7,객관식,가정교육론·교육과정,직소 협동학습에서 같은 하위 주제를 맡은 학생들이 모여 깊이 학습하는 집단은?,전문가 집단,원집단,통제 집단,청중 집단,1,전문가 집단에서 학습한 뒤 원래 모둠으로 돌아가 서로 가르친다.,힌트: 각자 맡은 부분의 ‘전문가’가 되는 단계입니다.
8,객관식,가정교육론·교육과정,"과정중심 평가에서 학습일지, 동료평가, 교사 피드백을 활용하는 주된 이유는?",최종 점수만 빠르게 산출하기 위해,평가를 수업과 분리하기 위해,수업 중 학생의 이해 수준을 파악하고 피드백으로 학습을 개선하기 위해,학생 간 서열을 공개하기 위해,3,과정중심 평가는 학습 과정에서의 성장과 개선을 돕는 평가이다.,힌트: ‘평가를 위한 평가’가 아니라 ‘학습을 돕는 평가’입니다.
9,객관식,가정교육론·교육과정,"학생이 자신의 사고 상태, 학습 전략, 무엇을 알고 모르는지를 점검하는 능력은?",전이,동화,메타인지,강화,3,메타인지는 자신의 인지 과정을 인식하고 조절하는 능력이다.,힌트: ‘내가 무엇을 모르는지 아는 능력’입니다.
10,객관식,가정교육론·교육과정,생태전환교육을 위해 여러 교과 교사가 성취기준을 재구조화하고 공동 평가 계획을 세우는 수업 형태는?,교과 간 연계·융합 수업,개별 암송 수업,단일 교과 폐쇄 수업,무평가 수업,1,기후·생태 환경 문제는 여러 교과 지식을 연결하는 융합적 접근이 필요하다.,힌트: 기후·생태 문제는 가정과만으로 설명하기 어렵습니다.
11,객관식,식생활·영양·조리과학,"염장, 당장, 건조가 식품 저장성을 높이는 공통 원리는 무엇인가?",비타민 C 합성,단백질 완전 분해,지방산 포화도 증가,수분활성도 감소,4,자유롭게 이용 가능한 물이 줄어들면 미생물 생육이 억제된다.,힌트: 미생물이 이용할 수 있는 ‘물’의 정도를 생각하세요.
12,객관식,식생활·영양·조리과학,탄수화물 권장섭취량 설정에서 두뇌가 포도당을 충분히 사용할 수 있도록 고려하는 기준으로 가장 적절한 것은?,무작위 섭취량,평균필요량,상한섭취량만,기호도,2,평균필요량을 토대로 권장섭취량이 설정된다.,힌트: 영양섭취기준에서 권장섭취량은 평균필요량을 바탕으로 합니다.
13,객관식,식생활·영양·조리과학,비타민 B1 결핍 질환과 조효소 명칭의 연결로 옳은 것은?,괴혈병 - NAD,야맹증 - CoA,구루병 - FAD,각기병 - TPP,4,티아민은 TPP 형태로 탄수화물 대사에 관여하며 결핍 시 각기병이 나타날 수 있다.,힌트: 도정한 쌀을 주식으로 할 때 부족해지기 쉬운 비타민입니다.
14,객관식,식생활·영양·조리과학,완전히 호화된 전분에서 편광현미경상 복굴절성이 사라지는 이유는?,전분이 단백질로 전환되기 때문,전분 입자의 결정 구조가 붕괴되어 규칙적 배열이 사라지기 때문,수분이 모두 증발하여 결정성이 증가하기 때문,당이 지방으로 전환되기 때문,2,전분의 복굴절성은 입자의 결정성 구조와 관련된다.,힌트: 호화는 전분 입자의 규칙적인 구조를 무너뜨립니다.
15,객관식,식생활·영양·조리과학,엽록소가 산성 조건에서 가열될 때 녹색이 올리브색으로 변하는 주된 이유는?,전분이 젤라틴으로 변함,철 이온이 칼슘 이온으로 치환됨,마그네슘 이온이 수소 이온으로 치환되어 페오피틴이 형성됨,카로틴이 엽록소로 변함,3,산성 조건에서는 엽록소의 Mg가 H로 치환되어 페오피틴이 형성된다.,힌트: 초록색 채소를 산성에서 오래 가열하면 색이 탁해집니다.
16,객관식,식생활·영양·조리과학,새우나 게를 가열하면 붉은색이 선명해지는 이유와 관련된 색소는?,아스타잔틴,안토시아닌,클로로필,미오글로빈,1,갑각류의 가열 색 변화는 카로티노이드계 색소인 아스타잔틴과 관련된다.,힌트: 갑각류의 붉은색 색소입니다.
17,객관식,식생활·영양·조리과학,유지의 자동산화가 잘 일어나는 지방산의 구조적 특징은?,탄소 수가 항상 2개이다,이중결합이 많다,모든 결합이 단일결합이다,물에 완전히 용해된다,2,불포화도가 높을수록 산소와 반응하기 쉬워 산패가 잘 일어난다.,힌트: 불포화지방산과 산패의 관계를 생각하세요.
18,객관식,식생활·영양·조리과학,휘발성이 있고 물에 비교적 잘 녹으며 버터와 우유 지방의 향미와 관련되는 단쇄지방산은?,부티르산,리놀레산,스테아르산,아라키돈산,1,부티르산은 낙산이라고도 하며 버터 향미와 관련된다.,힌트: 이름 자체가 butter와 관련되어 있습니다.
19,객관식,식생활·영양·조리과학,위 절제 환자에게 덤핑증후군이 나타날 수 있는 주된 이유는?,소장에서 음식물이 전혀 흡수되지 않기 때문,위산 분비가 무조건 증가하기 때문,고농도 음식물이 소장으로 빠르게 이동하기 때문,췌장 효소가 모두 사라지기 때문,3,위의 저장 및 배출 조절 기능이 약화되면 음식물이 소장으로 급속히 이동할 수 있다.,힌트: 위의 ‘저장 탱크’ 역할이 줄어든 상황입니다.
20,객관식,식생활·영양·조리과학,당뇨병 식사지도에서 혈당지수가 높은 식품의 과다 섭취를 주의시키는 이유는?,수분활성도를 높여 식중독을 유발하기 때문,단백질 흡수를 완전히 차단하기 때문,무기질을 모두 파괴하기 때문,식후 혈당을 빠르게 상승시키기 때문,4,혈당지수가 높은 식품은 식후 혈당 상승을 빠르게 유도한다.,힌트: GI가 높다는 것은 식후 혈당 반응이 빠르다는 뜻입니다.
21,객관식,의생활·섬유·복식·패션,지속가능 섬유 소재인 헴프의 환경적 장점으로 가장 적절하지 않은 것은?,재배할수록 반드시 토양을 영구적으로 오염시킨다,생산성이 높다,비료 사용 부담이 비교적 적다,물 사용량이 적다,1,헴프는 친환경 섬유로 주목되며 토양 개선 가능성 등이 장점으로 언급된다.,힌트: ‘적절하지 않은 것’을 고르는 문제입니다.
22,객관식,의생활·섬유·복식·패션,식물성 단백질 재생섬유로 실크와 유사한 광택과 부드러운 촉감을 가지며 ‘식물성 캐시미어’로 불리는 것은?,나일론,폴리에스터,콩섬유,아크릴,3,콩섬유는 식물성 단백질 재생섬유로 설명된다.,힌트: 원료가 식물성 단백질입니다.
23,객관식,의생활·섬유·복식·패션,폴리에스터와 면 혼방 직물이 재활용하기 어려운 주된 이유는?,면이 금속이기 때문,서로 다른 섬유의 분리와 처리 조건이 다르기 때문,폴리에스터가 물에 완전히 녹기 때문,혼방 직물은 착용이 불가능하기 때문,2,혼방 섬유는 분리와 재생 공정이 복잡해 재활용 효율이 낮아질 수 있다.,힌트: 서로 다른 성질의 섬유가 섞여 있습니다.
24,객관식,의생활·섬유·복식·패션,업사이클링을 가장 바르게 설명한 것은?,폐기물을 단순 소각하는 것,천연 섬유만 매립하는 것,제품을 한 번 사용하고 버리는 것,기존 폐기물에 디자인이나 기능을 더해 더 높은 가치의 제품으로 전환하는 것,4,업사이클링은 재활용을 넘어 가치 상승을 포함한다.,힌트: up이라는 말처럼 가치가 올라갑니다.
25,객관식,의생활·섬유·복식·패션,스마트 의류가 일반 의류와 구별되는 핵심 특징은?,항상 전통 염색만 사용,착용자의 상태나 환경 변화에 반응하거나 정보를 제공하는 기능,세탁이 불가능한 의류,모든 의복을 종이로 만드는 방식,2,"스마트 의류는 센서, 정보처리, 반응 기능 등을 포함할 수 있다.",힌트: 의복이 정보를 감지하거나 반응합니다.
